id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1388527596036444163,1388517471787749377,2021-05-01 09:15:51 PDT,2021-05-01,09:15:51,-0700,1348559391629352962,mitushi1108,mitushi1108,,"@Su4ita @DelhiPolice @DCP_CCC_Delhi #SCAM ALERT #DELHI #OXYGEN #DelhiPolice #DelhiNeedsOxygen #OxygenCylinders #OxygenEmergency @Su4ita  Sachin Agarwal- +919083499035 , +91 93825 45742 , +91 96359 74489took  money from my friend promising to deliver a cylinder, has now switched his phone off.  https://t.co/NAN5psSQuZ",en,"[{'screen_name': 'su4ita', 'name': 'sucharita tyagi', 'id': '350728896'}]",[],"['https://pbs.twimg.com/media/E0UKfAbVoAEa3ml.jpg', 'https://pbs.twimg.com/media/E0UKfAdVgAAkTZT.jpg']",2,2,2,"['scam', 'delhi', 'oxygen', 'delhipolice', 'delhineedsoxygen', 'oxygencylinders', 'oxygenemergency']",[],https://twitter.com/mitushi1108/status/1388527596036444163,False,,1,https://pbs.twimg.com/media/E0UKfAbVoAEa3ml.jpg,,,,,,,"[{'screen_name': 'Su4ita', 'name': 'Sucharita Tyagi', 'id': '350728896'}, {'screen_name': 'DelhiPolice', 'name': '#DilKiPolice Delhi Police', 'id': '1850705408'}, {'screen_name': 'DCP_CCC_Delhi', 'name': 'DCP Cybercrime', 'id': '874157386952519680'}]",,,,
1388527543054069765,1388527543054069765,2021-05-01 09:15:38 PDT,2021-05-01,09:15:38,-0700,70368376,_yogeshgupta,Adv. Yogesh Gupta 🇮🇳,,"Dear Sir   Urgent Requirement #Oxygen #Concentrator, #Remdesivir and #Tocilizumab injections in #TilakNagar, #Delhi.  Name- R.P.Tyagi Age -61 Phone number:- 9911014554 Condition is critical, please help. 🙏  @DeependerSHooda   @TeamDeepender",en,"[{'screen_name': 'deependershooda', 'name': 'deepender s hooda', 'id': '49375859'}, {'screen_name': 'teamdeepender', 'name': 'team deepender inc', 'id': '4431427320'}]",[],[],6,1,1,"['oxygen', 'concentrator', 'remdesivir', 'tocilizumab', 'tilaknagar', 'delhi']",[],https://twitter.com/_YogeshGupta/status/1388527543054069765,False,,0,,,,,,,,[],,,,
1388506881035964416,1388506881035964416,2021-05-01 07:53:32 PDT,2021-05-01,07:53:32,-0700,1348559391629352962,mitushi1108,mitushi1108,,"#SCAM ALERT #DELHI #OXYGEN #DelhiPolice #DelhiNeedsOxygen #OxygenCylinders #OxygenEmergency  Sachin Agarwal- +919083499035 , +91 93825 45742 , +91 96359 74489took  money from my friend promising to deliver a cylinder, has now switched his phone off.  BEWARE do not reach out to",en,[],[],[],1,1,1,"['scam', 'delhi', 'oxygen', 'delhipolice', 'delhineedsoxygen', 'oxygencylinders', 'oxygenemergency']",[],https://twitter.com/mitushi1108/status/1388506881035964416,False,,0,,,,,,,,[],,,,
1388492297608728582,1388492297608728582,2021-05-01 06:55:35 PDT,2021-05-01,06:55:35,-0700,328993574,sayanigupta,Sayani Gupta,,"This guys needs to be caught.  He said Sachin Agarwal on this no. 6289204276 Sent the below gpay details: (9973329750 Phone pay Google pe Raj Kumar Mandal) #SCAM #delhi #Oxygen   Also, please Do Not Give any advance to anyone asking.",en,[],[],[],2,11,18,"['scam', 'delhi', 'oxygen']",[],https://twitter.com/sayanigupta/status/1388492297608728582,False,https://twitter.com/Su4ita/status/1388127899396427776,0,,,,,,,,[],,,,
1388448867679543297,1388440213668569089,2021-05-01 04:03:00 PDT,2021-05-01,04:03:00,-0700,582850178,dogoodalwys,Nevergiveup,,"@garima5555 @taapsee @MandviSharma @bhumipednekar @priyankachopra @Samriddhi0809 @janiceseq85 @deespeak @RichaChadha @I_abhipandey Call here fast Contact MR Vineet ..He is selling 12 ltr oxygen Can at 800rs ..Call at @9811169579 and I just spoke at 2.42pm Oxygen Cans available at Sec17, Rohini, Near Shama Chicken Corner. Pls reach and phone him #oxygen #refill #coviddelhi #covidhelpdelhi #delhi #covid",en,[],[],[],0,1,1,"['oxygen', 'refill', 'coviddelhi', 'covidhelpdelhi', 'delhi', 'covid']",[],https://twitter.com/dogoodalwys/status/1388448867679543297,False,,0,,,,,,,,"[{'screen_name': 'garima5555', 'name': 'Garima', 'id': '472662842'}, {'screen_name': 'taapsee', 'name': 'taapsee pannu', 'id': '132992534'}, {'screen_name': 'MandviSharma', 'name': 'Mandvi Gayatri Sharma', 'id': '31798899'}, {'screen_name': 'bhumipednekar', 'name': 'bhumi pednekar', 'id': '243332437'}, {'screen_name': 'priyankachopra', 'name': 'PRIYANKA', 'id': '18681139'}, {'screen_name': 'Samriddhi0809', 'name': 'Samriddhi Sakunia', 'id': '1187435094270603264'}, {'screen_name': 'janiceseq85', 'name': 'Janice Sequeira', 'id': '102031596'}, {'screen_name': 'deespeak', 'name': 'Dia Mirza', 'id': '113352671'}, {'screen_name': 'RichaChadha', 'name': 'TheRichaChadha', 'id': '207888272'}, {'screen_name': 'I_abhipandey', 'name': 'Abhishek Pandey', 'id': '572559747'}]",,,,
1388435101747396608,1388428921478078465,2021-05-01 03:08:18 PDT,2021-05-01,03:08:18,-0700,582850178,dogoodalwys,Nevergiveup,,"@ruchikagarg271 @iPriyanka_S Call here fast Contact MR Vineet ..He is selling 12 ltr oxygen Can at 800rs ..Call at @9811169579 and I just spoke at 2.42pm Oxygen Cans available at Sec17, Rohini, Near Shama Chicken Corner. Pls reach and phone him #oxygen #refill #coviddelhi #covidhelpdelhi #delhi #covid",en,[],[],[],1,2,2,"['oxygen', 'refill', 'coviddelhi', 'covidhelpdelhi', 'delhi', 'covid']",[],https://twitter.com/dogoodalwys/status/1388435101747396608,False,,0,,,,,,,,"[{'screen_name': 'ruchikagarg271', 'name': 'Ruchika Garg', 'id': '3255456678'}, {'screen_name': 'iPriyanka_S', 'name': 'Priyanka Sharma', 'id': '635638927'}]",,,,
1388434108724940802,1388434108724940802,2021-05-01 03:04:22 PDT,2021-05-01,03:04:22,-0700,2583433406,iamhimanshusani,Himanshu Saini,,Verified Phone number oxygen delhi #OxygenCylinders #Oxygen #Delhi   https://t.co/NkL4i3Joqe,en,[],['https://jeevankhoj.com/delhi-oxygen/'],[],0,0,0,"['oxygencylinders', 'oxygen', 'delhi']",[],https://twitter.com/iamhimanshusani/status/1388434108724940802,False,,0,,,,,,,,[],,,,
1388426197550329856,1388425711594004482,2021-05-01 02:32:55 PDT,2021-05-01,02:32:55,-0700,582850178,dogoodalwys,Nevergiveup,,"@MandviSharma @itsmesabita @utsavbains @indiacares_2020 Contact MR Vineet ..He is selling 12 ltr oxygen Can at 800rs ..Call at @9811169579 and I just spoke at 2.42pm 1/5/21 Oxygen Cans availble at Sec17, Rohini, Near Shama Chicken Corner. Pls reach and phone him #oxygen #refill #coviddelhi #covidhelpdelhi #delhi #covid #oxygencylinder",en,[],[],[],1,2,1,"['oxygen', 'refill', 'coviddelhi', 'covidhelpdelhi', 'delhi', 'covid', 'oxygencylinder']",[],https://twitter.com/dogoodalwys/status/1388426197550329856,False,,0,,,,,,,,"[{'screen_name': 'MandviSharma', 'name': 'Mandvi Gayatri Sharma', 'id': '31798899'}, {'screen_name': 'itsmesabita', 'name': 'Sabita Chanda', 'id': '68598181'}, {'screen_name': 'utsavbains', 'name': 'Utsav Bains', 'id': '2339462503'}, {'screen_name': 'indiacares_2020', 'name': 'India Cares', 'id': '1250957643981582336'}]",,,,
1388421224452083712,1388399495352918017,2021-05-01 02:13:10 PDT,2021-05-01,02:13:10,-0700,582850178,dogoodalwys,Nevergiveup,,"@HataCurry @iPriyanka_S Contact MR Vineet ..He is selling 12 ltr oxygen Can at 800rs ..Call at @9811169579 and I just spoke at 2.42pm Oxygen Cans available at Sec17, Rohini, Near Shama Chicken Corner. Pls reach and phone him #oxygen #refill #coviddelhi #covidhelpdelhi #delhi #covid #oxygencylinder",en,[],[],[],1,2,1,"['oxygen', 'refill', 'coviddelhi', 'covidhelpdelhi', 'delhi', 'covid', 'oxygencylinder']",[],https://twitter.com/dogoodalwys/status/1388421224452083712,False,,0,,,,,,,,"[{'screen_name': 'HataCurry', 'name': 'Satadru Mukherjee', 'id': '45089243'}, {'screen_name': 'iPriyanka_S', 'name': 'Priyanka Sharma', 'id': '635638927'}]",,,,
1388410041569447938,1388410041569447938,2021-05-01 01:28:43 PDT,2021-05-01,01:28:43,-0700,976875724819886080,abhay_dhotrekar,Abhay Dhotrekar,,"Spoke with the concerned person @9811169579 Oxygen Cans available at Sec17, Rohini, Near Shama Chicken Corner. Pls reach and phone him #oxygen #refill #coviddelhi #covidhelpdelhi #delhi #covid #oxygencylinder",en,[],[],[],0,1,0,"['oxygen', 'refill', 'coviddelhi', 'covidhelpdelhi', 'delhi', 'covid', 'oxygencylinder']",[],https://twitter.com/abhay_dhotrekar/status/1388410041569447938,False,https://twitter.com/Fighterjet_sam/status/1388386540187959297,0,,,,,,,,[],,,,
